variable,Aggr,value ,Times [min],x [km],y [km],z [km],Experiment
W,mean W<0,-0.4000000059604645,165,2,74,14.0,037
Reflectivity,P90,25.203,75,60,48,6.0,037
Reflectivity,mean r>0,24.549999237060547,230,28,68,4.0,037
Reflectivity,max r>0,63.03200149536133,130,16,138,0.0,037
Precipitation,P90,22.982,190,68,48,,037
Precipitation,mean r>0,8.156000137329102,120,100,112,,037
Precipitation,max r>0,140.35000610351562,190,16,138,,037
W,P90,0.163,135,96,74,16.0,038
W,P10,-0.168,210,22,46,17.0,038
W,mean W>0,0.289000004529953,190,90,132,7.0,038
W,mean W<0,-0.14399999380111694,120,154,84,2.0,038
Reflectivity,P90,-15.799,200,34,56,4.0,038
Reflectivity,mean r>0,26.8799991607666,200,40,122,10.0,038
Reflectivity,max r>0,60.68199920654297,110,86,96,5.0,038
Precipitation,P90,0.357,240,108,66,,038
Precipitation,mean r>0,4.380000114440918,210,88,64,,038
Precipitation,max r>0,100.22799682617188,240,104,88,,038
W,P90,0.502,215,90,154,17.0,039
W,P10,-0.678,185,6,90,5.0,039
W,mean W>0,0.5059999823570251,185,104,12,1.0,039
W,mean W<0,-0.4129999876022339,75,2,46,13.0,039
Reflectivity,P90,19.78,135,148,0,4.0,039
Reflectivity,mean r>0,24.68000030517578,100,92,102,0.0,039
Reflectivity,max r>0,59.89899826049805,105,152,98,3.0,039
Precipitation,P90,20.219,140,6,76,,039
Precipitation,mean r>0,7.050000190734863,120,146,6,,039
Precipitation,max r>0,124.58300018310547,240,156,96,,039
W,P90,0.249,200,64,124,0.0,040
W,P10,-0.259,165,148,28,1.0,040
W,mean W>0,0.4090000092983246,230,136,144,4.0,040
W,mean W<0,-0.20800000429153442,145,132,104,5.0,040
Reflectivity,P90,9.617,240,148,68,8.0,040
Reflectivity,mean r>0,28.607999801635742,200,6,98,0.0,040
Reflectivity,max r>0,59.64799880981445,25,74,78,5.0,040
Precipitation,P90,2.451,140,66,106,,040
Precipitation,mean r>0,5.302000045776367,230,96,20,,040
Precipitation,max r>0,127.73999786376953,240,70,80,,040
W,P90,0.249,50,64,80,17.0,041
W,P10,-0.258,155,40,92,0.0,041
W,mean W>0,0.4099999964237213,150,92,40,15.0,041
W,mean W<0,-0.20800000429153442,170,138,96,8.0,041
Reflectivity,P90,11.27,160,120,58,9.0,041
Reflectivity,mean r>0,28.374000549316406,150,66,46,5.0,041
Reflectivity,max r>0,59.33700180053711,25,74,76,5.0,041
Precipitation,P90,2.39,200,82,136,,041
Precipitation,mean r>0,5.1479997634887695,240,92,136,,041
Precipitation,max r>0,127.5260009765625,240,74,78,,041
W,P90,0.223,90,124,98,10.0,042
W,P10,-0.24,180,74,136,14.0,042
W,mean W>0,0.382999986410141,205,30,78,12.0,042
W,mean W<0,-0.19900000095367432,55,80,52,7.0,042
Reflectivity,P90,8.27,205,40,118,7.0,042
Reflectivity,mean r>0,28.565000534057617,240,50,80,9.0,042
Reflectivity,max r>0,59.91400146484375,25,76,76,5.0,042
Precipitation,P90,2.025,155,50,66,,042
Precipitation,mean r>0,5.953999996185303,200,114,76,,042
Precipitation,max r>0,142.22500610351562,240,76,76,,042
W,P90,0.236,175,48,72,4.0,043
W,P10,-0.248,75,102,56,9.0,043
W,mean W>0,0.39100000262260437,150,40,90,14.0,043
W,mean W<0,-0.2029999941587448,55,42,76,1.0,043
Reflectivity,P90,6.472,195,124,30,2.0,043
Reflectivity,mean r>0,28.6560001373291,35,78,76,1.0,043
Reflectivity,max r>0,59.91400146484375,25,74,76,5.0,043
Precipitation,P90,2.041,220,118,82,,043
Precipitation,mean r>0,5.015999794006348,240,8,68,,043
Precipitation,max r>0,119.16500091552734,240,72,86,,043
W,P90,0.249,30,36,50,16.0,044
W,P10,-0.26,70,108,52,4.0,044
W,mean W>0,0.41499999165534973,230,36,32,7.0,044
W,mean W<0,-0.20800000429153442,75,118,112,4.0,044
Reflectivity,P90,9.901,190,116,112,1.0,044
Reflectivity,mean r>0,28.559999465942383,225,64,94,8.0,044
Reflectivity,max r>0,59.665000915527344,25,74,78,5.0,044
Precipitation,P90,2.274,205,50,22,,044
Precipitation,mean r>0,5.322999954223633,190,72,26,,044
Precipitation,max r>0,131.98699951171875,240,72,78,,044
W,P90,0.249,230,94,32,16.0,045
W,P10,-0.262,205,44,30,10.0,045
W,mean W>0,0.4129999876022339,180,66,44,18.0,045
W,mean W<0,-0.210999995470047,190,94,140,15.0,045
Reflectivity,P90,9.279,65,92,72,9.0,045
Reflectivity,mean r>0,28.606000900268555,190,74,52,12.0,045
Reflectivity,max r>0,59.59600067138672,25,74,78,5.0,045
Precipitation,P90,2.318,240,120,42,,045
Precipitation,mean r>0,5.195000171661377,230,66,112,,045
Precipitation,max r>0,132.34300231933594,240,72,78,,045
W,P90,0.257,40,122,56,13.0,046
W,P10,-0.266,115,94,26,13.0,046
W,mean W>0,0.4230000078678131,235,92,126,10.0,046
W,mean W<0,-0.21299999952316284,120,112,46,11.0,046
Reflectivity,P90,11.661,215,50,64,2.0,046
Reflectivity,mean r>0,28.729000091552734,225,72,20,9.0,046
Reflectivity,max r>0,59.63600158691406,25,74,78,5.0,046
Precipitation,P90,2.661,185,46,44,,046
Precipitation,mean r>0,5.625,220,108,72,,046
Precipitation,max r>0,130.93899536132812,240,76,72,,046
W,P90,0.285,195,136,32,8.0,047
W,P10,-0.291,55,64,132,10.0,047
W,mean W>0,0.4560000002384186,225,82,50,9.0,047
W,mean W<0,-0.23100000619888306,105,42,36,17.0,047
Reflectivity,P90,15.733,230,36,130,0.0,047
Reflectivity,mean r>0,28.999000549316406,200,108,148,1.0,047
Reflectivity,max r>0,59.78200149536133,25,74,78,6.0,047
Precipitation,P90,3.623,225,112,84,,047
Precipitation,mean r>0,4.72599983215332,150,92,70,,047
Precipitation,max r>0,131.69900512695312,240,72,78,,047
W,P90,0.262,115,92,20,4.0,048
W,P10,-0.273,195,126,36,14.0,048
W,mean W>0,0.4390000104904175,120,114,56,6.0,048
W,mean W<0,-0.2160000056028366,160,78,6,16.0,048
Reflectivity,P90,12.627,100,84,54,6.0,048
Reflectivity,mean r>0,28.884000778198242,190,74,56,10.0,048
Reflectivity,max r>0,59.720001220703125,25,74,78,5.0,048
Precipitation,P90,2.79,235,12,70,,048
Precipitation,mean r>0,5.822999954223633,140,58,88,,048
Precipitation,max r>0,140.17599487304688,240,72,80,,048
W,P90,0.313,235,148,84,6.0,049
W,P10,-0.318,125,90,68,14.0,049
W,mean W>0,0.5009999871253967,230,46,36,19.0,049
W,mean W<0,-0.24500000476837158,120,40,64,13.0,049
Reflectivity,P90,21.252,195,108,44,10.0,049
Reflectivity,mean r>0,29.458999633789062,185,40,90,5.0,049
Reflectivity,max r>0,60.069000244140625,25,76,76,6.0,049
Precipitation,P90,4.244,215,50,48,,049
Precipitation,mean r>0,6.578000068664551,230,130,48,,049
Precipitation,max r>0,166.35299682617188,240,76,76,,049
W,P90,0.026,105,18,126,11.0,050
W,P10,-0.026,110,150,86,1.0,050
W,mean W>0,0.01899999938905239,145,36,14,17.0,050
W,mean W<0,-0.017000000923871994,140,70,28,15.0,050
Reflectivity,P90,-30.0,0,0,0,0.0,050
Reflectivity,mean r>0,17.628999710083008,85,86,78,4.0,050
Reflectivity,max r>0,54.95800018310547,30,72,76,2.0,050
